FIPS,trump16,clinton16,otherpres16,romney12,obama12,otherpres12,demsen16,repsen16,othersen16,demhouse16,rephouse16,otherhouse16,repgov14,demgov14,white_pct,black_pct,hispanic_pct,nonwhite_pct,foreignborn_pct,female_pct,age29andunder_pct,age65andolder_pct,median_hh_inc,clf_unemploy_pct,lesshs_pct,lesscollege_pct,lesshs_whites_pct,lesscollege_whites_pct,rural_pct,ruralurban_cc,Density,TotalCongregations,TotalAdherents,TotalAdherentsperThousand,EvangelicalProtestantAdherents,EvangelicalProtestantsPerThous,BlackProtestantAdherents,BlackProtestantsperThousand,MainlineProtestantAdherents,MainlineProtestantsperThousand,CatholicAdherents,CatholicAdherentsperThousand,OrthodoxAdherents,OrthodoxAdherentsperThousand,MuslimsEstimated,MuslimsEstimatedperThousand,ConservativeJudaismAdherents,ConservativeJudaismperThou,OrthodoxJudaismAdherents,OrthodoxJudaismperThousand,ReconstructionistJudaism,ReconstructionismJudaismperThou,ReformJudaismAdherents,ReformJudaismperThousand,TotalJudaismAdherents,TotalJudaismAdherentsperThousand
29127,9419,2994,525,7923,4031,204,4115,8239,498,2915,9405,311,.,.,90.39087948,4.515212419,1.5628,9.609120521,1.257883429,51.78460046,38.92508143,17.11830342,43828,5.975245412,12.92207456,79.52841409,13.21519831,78.96344851,24.7663389,5,66,70,17222.00,598.38,10356.00,359.82,123.00,4.27,3472.00,120.64,2721.00,94.54,.,.,.,.,.,.,.,.,.,.,.,., .   ,0.00
29129,1486,216,43,1255,353,47,396,1231,74,197,1444,38,.,.,96.35332253,0.459211237,1.2696,3.646677472,1.377633712,49.86493787,36.00756348,20.63749325,41817,4.567022539,11.17296223,83.14115308,10.80422421,83.38748985,100,9,8,18,2688.00,710.17,2138.00,564.86,.,.,499.00,131.84,50.00,13.21,.,.,.,.,.,.,.,.,.,.,.,., .   ,0.00
29131,9285,1750,381,8099,2651,269,3032,7760,541,1641,9228,377,.,.,95.17812163,0.535764264,1.7472,4.821878374,1.195473991,50.60573348,36.99972012,17.80816441,40057,6.771720613,15.14763264,84.3340516,14.9555327,84.18537117,79.78018426,6,42,56,13962.00,564.17,8906.00,359.87,.,.,861.00,34.79,4192.00,169.39,.,.,.,.,.,.,.,.,.,.,.,., .   ,0.00
29133,3600,1458,111,2997,1858,65,2063,2826,179,1525,3345,77,.,.,72.0946712,23.5685941,1.8991,27.9053288,0.510204082,46.37188209,37.24489796,16.49659864,29214,10.80789946,27.16675114,88.58590978,26.19372442,86.28922237,32.69954033,6,34,37,6350.00,442.26,4614.00,321.35,667.00,46.45,716.00,49.87,353.00,24.59,.,.,.,.,.,.,.,.,.,.,.,., .   ,0.00
29135,5347,1237,246,4704,1608,131,2097,4431,259,1272,5161,237,.,.,89.7790404,3.36489899,4.4634,10.2209596,2.815656566,47.63257576,39.41919192,14.96212121,48974,4.647887324,16.44935752,81.71768707,15.25158871,80.35212001,52.70071122,3,38,40,9470.00,606.78,5939.00,380.53,.,.,1541.00,98.74,1700.00,108.93,.,.,.,.,.,.,.,.,.,.,.,., .   ,0.00
29137,3159,853,144,2564,1398,95,1330,2584,195,899,2955,131,.,.,93.5663041,2.858134691,1.4349,6.433695904,0.543855589,49.86114325,33.91576024,20.71279796,41201,5.685700342,10.29748284,85.97580909,9.865470852,85.83994481,100,9,13,36,6215.00,703.05,2919.00,330.20,122.00,13.80,2230.00,252.26,942.00,106.56,.,.,.,.,.,.,.,.,.,.,.,., .   ,0.00
29139,4127,1119,183,3490,1740,97,1722,3405,290,1078,4080,180,.,.,94.67005076,1.404399323,1.6582,5.329949239,0.642978003,50.21150592,34.89001692,19.90693739,41096,7.373440939,16.20872499,86.49072066,15.48175275,86.3871701,78.51422033,6,22,42,5659.00,462.49,2682.00,219.19,.,.,1535.00,125.45,1439.00,117.60,.,.,.,.,.,.,.,.,.,.,.,., .   ,0.00
29141,6760,1768,293,5733,2773,182,2916,5410,442,1748,6470,370,.,.,94.64869686,0.931523139,2.0414,5.351303141,1.050440987,49.77702904,33.24744822,23.4862749,32807,9.514066496,22.19830579,88.2585752,21.89275827,87.87702171,100,8,34,52,9283.00,451.40,5887.00,286.26,.,.,2117.00,102.94,1278.00,62.14,.,.,.,.,.,.,.,.,.,.,.,., .   ,0.00
29143,5270,1933,154,4284,2814,152,2844,4157,253,2022,4876,151,.,.,80.29513413,15.75511548,1.6293,19.70486587,0.488233035,51.95567502,36.76559329,17.52153163,31615,11.4507706,24.07997451,88.89596941,22.8500525,87.89729885,56.86326229,7,27,51,9819.00,517.99,7411.00,390.96,491.00,25.90,614.00,32.39,1303.00,68.74,.,.,.,.,.,.,.,.,.,.,.,., .   ,0.00
29145,20553,4990,1063,18181,6425,477,6691,18598,1323,5790,19497,1008,.,.,86.78435845,0.886944383,4.9812,13.21564155,3.731635485,50.13533988,38.90808805,17.4086243,44474,5.896647845,14.3622996,81.56336158,12.36469491,81.25088319,64.43714079,3,94,100,27743.00,477.39,22497.00,387.12,.,.,3314.00,57.03,1005.00,17.29,.,.,.,.,.,.,.,.,.,.,.,., .   ,0.00
29147,6380,2529,549,5593,3172,211,3466,5516,423,2246,6805,272,.,.,92.96013202,2.688265439,1.5157,7.039867975,2.297402936,50.4950925,50.88595501,14.0927647,39908,5.44348116,7.424797071,75.02785294,6.500377929,75.58578987,43.43175011,6,26,43,12335.00,527.81,4259.00,182.24,.,.,4178.00,178.78,3403.00,145.61,.,.,.,.,.,.,.,.,.,.,.,., .   ,0.00
29149,3671,865,132,2886,1419,116,1385,3031,215,876,3447,125,.,.,94.44240982,0.173960813,1.5840,5.557590185,1.419154001,50.70499908,33.86742355,23.01776231,30442,5.47818013,16.43960036,87.43998962,16.31361761,87.77166437,80.53487731,9,14,52,5023.00,461.63,4537.00,416.97,.,.,350.00,32.17,136.00,12.50,.,.,.,.,.,.,.,.,.,.,.,., .   ,0.00
29151,5856,998,236,5329,1473,117,2039,4789,236,889,5956,171,.,.,97.64302393,0.751605371,0.7443,2.356976065,0.269994162,47.803561,38.01079977,16.58639813,54119,3.047290499,9.659643436,80.91842247,9.634843819,80.86229652,100,3,23,36,9863.00,710.69,1915.00,137.99,.,.,439.00,31.63,7298.00,525.87,.,.,.,.,.,.,.,.,.,.,.,., .   ,0.00
29153,3639,724,142,3080,1261,112,1113,3085,272,723,3487,143,.,.,95.73544974,0.052910053,1.6614,4.264550265,0.317460317,49.85185185,29.02645503,25.87301587,31087,9.591422776,16.20933522,88.52899576,15.48796693,88.09980806,100,9,13,22,1988.00,204.46,1352.00,139.05,.,.,482.00,49.57,151.00,15.53,.,.,.,.,.,.,.,.,.,.,.,., .   ,0.00
29155,3964,1947,116,3598,2671,66,2203,3476,175,1945,3638,108,.,.,69.15733849,26.62651287,2.4320,30.84266151,0.71594977,52.73595091,41.44553668,15.58611285,31671,11.09891618,25.19539826,88.33757794,23.30977621,86.89045936,49.26759948,7,35,58,11172.00,610.63,9265.00,506.39,698.00,38.15,945.00,51.65,263.00,14.37,.,.,.,.,.,.,.,.,.,.,.,., .   ,0.00
